suite,task_id,condition,n_tasks,n_states,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_goal,7,wrong_latent,,3,36,36,0,0,0.0,0.05820364565675859,0.4164157179173398,0.4887537900008729,0.44815487684992367,0.7247602913243506,0.5834049872493944
libero_goal,7,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-18.33740915785034,0.4112375484758144,0.02525781706512677,11.82280955088698,19.292616694832503,11.851555292988321
libero_goal,7,donor_latent,,3,36,36,0,0,1.0,0.6621187796208279,0.8274816262303735,0.9444911043975514,0.17700876247916986,0.28554524687661403,0.2086355208112117
libero_goal,7,donor_cache,,3,36,36,0,0,1.0,0.6621187796208279,0.8274816262303735,0.9444911043975514,0.17700876247916986,0.28554524687661403,0.2086355208112117
libero_goal,8,first_frame,,3,36,36,0,0,0.19444444444444442,-0.22849953114605723,0.3394738366881314,0.31929138985613353,0.6172751180130094,1.014838508427535,0.754982457256174
libero_goal,8,wrong_latent,,3,36,36,0,0,0.0,0.006470380532731179,0.40835491613669933,0.45552791844863316,0.46976972639665515,0.7680773644835664,0.6142560868121643
libero_goal,8,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-18.13831421843589,0.28539049230558583,0.012155052336299292,11.644195937224659,19.062700239426253,11.690509476900601
libero_goal,8,donor_latent,,3,36,36,0,0,1.0,0.6188613305395877,0.812697983868623,0.9244592293248176,0.2015216651868689,0.3268729863564516,0.2343310193282553
libero_goal,8,donor_cache,,3,36,36,0,0,1.0,0.6188613305395877,0.812697983868623,0.9244592293248176,0.2015216651868689,0.3268729863564516,0.2343310193282553
libero_goal,9,first_frame,,3,36,36,0,0,0.19444444444444442,-0.5033051385049853,0.3736958948676807,0.27950007377872416,0.8719959587709777,1.2328518136600588,1.090997440389773
libero_goal,9,wrong_latent,,3,36,36,0,0,0.0,-0.06654029501612678,0.43931664527832454,0.44041837117517096,0.5578790189531105,0.805882891364979,0.7825375156691831
libero_goal,9,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-13.297617676719357,0.41414956557068733,0.03401500961494377,10.35810556837668,14.268522838297224,10.37915418571742
libero_goal,9,donor_latent,,3,36,36,0,0,1.0,0.6650368041133096,0.8774178586954742,0.9380608895598681,0.22288564410588105,0.3078995152415829,0.24224904290181817
libero_goal,9,donor_cache,,3,36,36,0,0,1.0,0.6650368041133096,0.8774178586954742,0.9380608895598681,0.22288564410588105,0.3078995152415829,0.24224904290181817
libero_object,0,first_frame,,3,36,36,0,0,0.27777777777777773,-0.0506695208484513,0.47814202646030085,0.4582525264018595,0.7039752511541466,0.881662613108316,0.8462607599655886
libero_object,0,wrong_latent,,3,36,36,0,0,0.0,-0.02860860642472417,0.47633926007957245,0.4853663846677469,0.6830979086597128,0.865938803548298,0.819569103666848
libero_object,0,shuffled_cache,,3,36,36,0,0,0.25,-10.240013221679993,0.4278536251616735,0.02987337169357847,8.914132611878317,11.133278597800064,8.998368599585872
libero_object,0,donor_latent,,3,36,36,0,0,1.0,0.7539060564281242,0.9516708472042522,0.9687213893476683,0.19079630857531896,0.2391690516569641,0.1963190414261582
libero_object,0,donor_cache,,3,36,36,0,0,1.0,0.7539060564281242,0.9516708472042522,0.9687213893476683,0.19079630857531896,0.2391690516569641,0.1963190414261582
libero_object,1,first_frame,,3,36,36,0,0,0.19444444444444442,-0.22702276435431537,0.41728075590869995,0.3368389356093218,0.9995979613657401,1.007068236128129,1.2399205436610217
libero_object,1,wrong_latent,,3,36,36,0,0,0.0,-0.03080793808778616,0.46600478936072015,0.4668542043506749,0.8572578205894822,0.8518864150094366,1.0516350308016778
libero_object,1,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-10.612516913457405,0.4366500980587868,0.04106998407377982,11.605066232791225,11.578269525459973,11.64248232976219
libero_object,1,donor_latent,,3,36,36,0,0,1.0,0.7918080549409735,0.9296633306930165,0.9773695372095044,0.19535237448766082,0.19445152397449159,0.208412498317721
libero_object,1,donor_cache,,3,36,36,0,0,1.0,0.7918080549409735,0.9296633306930165,0.9773695372095044,0.19535237448766082,0.19445152397449159,0.208412498317721
libero_object,2,first_frame,,3,36,36,0,0,0.16666666666666666,-0.4151443391261789,0.40015142887836697,0.31699550709888324,0.7994598823803919,1.2348559171481641,0.9168160993267752
libero_object,2,wrong_latent,,3,36,36,0,0,0.0,0.028780027903900763,0.4534836817963274,0.49260771387074254,0.5023903295509565,0.7911977702834353,0.6201722454377165
libero_object,2,shuffled_cache,,3,36,36,0,0,0.25,-16.279982374596447,0.44863729883105546,0.026008174293307124,10.976296915668037,17.23646392014611,11.005077727596351
libero_object,2,donor_latent,,3,36,36,0,0,1.0,0.7262796705692628,0.9040167954881265,0.9613456741305675,0.1628524194091469,0.25557365879144117,0.17446883649510103
libero_object,2,donor_cache,,3,36,36,0,0,1.0,0.7262796705692628,0.9040167954881265,0.9613456741305675,0.1628524194091469,0.25557365879144117,0.17446883649510103
libero_object,3,first_frame,,3,36,36,0,0,0.13888888888888887,-0.060733043193800705,0.40251588884576983,0.4244241138886904,0.6792562513994178,0.8347983512173499,0.8759201535634379
libero_object,3,wrong_latent,,3,36,36,0,0,0.0,-0.08972205615948059,0.45921456796596066,0.44831841203386086,0.697908795348113,0.8845697798991491,0.8819742690421517
libero_object,3,shuffled_cache,,3,36,36,0,0,0.19444444444444442,-13.745940108097122,0.430961710225421,0.03246928993879927,11.47073106759476,14.71984230805681,11.492195508473495
libero_object,3,donor_latent,,3,36,36,0,0,1.0,0.7605799068674242,0.919025934818318,0.9696478992140422,0.17758084489818318,0.2232761973390001,0.1897473220311231
libero_object,3,donor_cache,,3,36,36,0,0,1.0,0.7605799068674242,0.919025934818318,0.9696478992140422,0.17758084489818318,0.2232761973390001,0.1897473220311231
libero_object,4,first_frame,,3,36,36,0,0,0.25,-0.1760818883617428,0.46335837446152683,0.4011830914512104,0.6732099325827049,1.0099354893003043,0.789892767455199
libero_object,4,wrong_latent,,3,36,36,0,0,0.0,-0.0860936224600189,0.47042123820124626,0.46122851305183205,0.59730210924738,0.9221095829176459,0.7141076190383487
libero_object,4,shuffled_cache,,3,36,36,0,0,0.25,-13.868064918681226,0.43763078988047016,0.030660706956143965,9.79970407075974,14.789203626345328,9.855605104949666
libero_object,4,donor_latent,,3,36,36,0,0,1.0,0.747120679674565,0.9344995272106438,0.9666394343598919,0.16196855546907493,0.2425076022259727,0.1686630150745246
libero_object,4,donor_cache,,3,36,36,0,0,1.0,0.747120679674565,0.9344995272106438,0.9666394343598919,0.16196855546907493,0.2425076022259727,0.1686630150745246
libero_object,5,first_frame,,3,36,36,0,0,0.19444444444444442,-0.11549916459974247,0.4251520175883143,0.4143933171544343,0.8394314897219481,0.9279805227004382,1.0281344018353173
libero_object,5,wrong_latent,,3,36,36,0,0,0.0,0.003883010449397463,0.4721420771681311,0.4794393613386116,0.769878307453042,0.8083600867160906,0.9534984027433815
libero_object,5,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-11.996969502484433,0.46172255603620443,0.03875932057352074,11.754765309801662,12.961631667707811,11.78559679418421
libero_object,5,donor_latent,,3,36,36,0,0,1.0,0.7939018283962237,0.9432649943902245,0.9770423218141263,0.17882094950519023,0.19624573754533717,0.18716162070035466
libero_object,5,donor_cache,,3,36,36,0,0,1.0,0.7939018283962237,0.9432649943902245,0.9770423218141263,0.17882094950519023,0.19624573754533717,0.18716162070035466
libero_object,6,first_frame,,3,36,36,0,0,0.2222222222222222,-0.17433724205193735,0.4653448348013555,0.4045206920450763,0.9656093979865533,1.021158596865801,1.1174072637277346
libero_object,6,wrong_latent,,3,36,36,0,0,0.0,0.005832638253134788,0.47676943719542936,0.49189847482047827,0.7542613950363813,0.8061912705362082,0.9414679039703616
libero_object,6,shuffled_cache,,3,36,36,0,0,0.25,-10.858769465608427,0.4497895054635787,0.04952472304277319,11.204282880414043,11.801992791766251,11.258276790635847
libero_object,6,donor_latent,,3,36,36,0,0,1.0,0.7846664333378173,0.953647530450716,0.9761594730703393,0.1991426878482022,0.20905609574105247,0.20484740410088878
