bootstrap_mode,kind,label,metric,n_states_total,n_states_valid,n_states_missing,mean,ci95_low,ci95_high,n_suites,n_tasks
state,comparison,donor_cache_minus_shuffled_cache,orthogonal_residual_ratio,120,120,0,-16.336163961031946,-17.389466811871785,-15.296926127716315,,
state,comparison,donor_cache_minus_shuffled_cache,distance_to_donor,120,120,0,-10.645921575108247,-10.940249047946903,-10.310860430955199,,
suite_task_state_hierarchical,condition,first_frame,correct_donor_retrieval_rate,120,120,0,0.19444444444444448,0.17291666666666666,0.21388888888888888,4,40
suite_task_state_hierarchical,condition,first_frame,donor_distance_reduction,120,120,0,-0.43416520305575745,-0.649887633381252,-0.2509299239379046,4,40
suite_task_state_hierarchical,condition,first_frame,donor_projection,120,120,0,0.3783822009787352,0.3463333665993867,0.4156347980005444,4,40
suite_task_state_hierarchical,condition,first_frame,cosine_alignment,120,120,0,0.3026286175634372,0.25726142730469537,0.3602681529315996,4,40
suite_task_state_hierarchical,condition,first_frame,orthogonal_residual,120,120,0,0.8496845354538262,0.7155029084886962,1.0128584527318714,4,40
suite_task_state_hierarchical,condition,first_frame,orthogonal_residual_ratio,120,120,0,1.2314152717693299,1.0520075960796904,1.4440842011902946,4,40
suite_task_state_hierarchical,condition,first_frame,distance_to_donor,120,120,0,1.0174632007852682,0.8493417746993804,1.2216531727957418,4,40
suite_task_state_hierarchical,condition,wrong_latent,correct_donor_retrieval_rate,120,120,0,0.0006944444444444444,0.0,0.003472222222222222,4,40
suite_task_state_hierarchical,condition,wrong_latent,donor_distance_reduction,120,120,0,-0.05523982859339524,-0.12403563426782596,-0.012200500201427737,4,40
suite_task_state_hierarchical,condition,wrong_latent,donor_projection,120,120,0,0.435722622614237,0.4177591722077411,0.45742652949982276,4,40
suite_task_state_hierarchical,condition,wrong_latent,cosine_alignment,120,120,0,0.4562859722396302,0.4418715785766039,0.47089815961587517,4,40
suite_task_state_hierarchical,condition,wrong_latent,orthogonal_residual,120,120,0,0.6012135275760832,0.4793304945316263,0.7371523516096947,4,40
