correct_source_tie_fraction,correct_source_top1,cosine_alignment,distance_reduction,distance_to_donor_l2,future_source_index,future_source_seed,native_separation_l2,nearest_native_seed,nearest_tie_count,normalized_final_distance,normalized_projection,orthogonal_residual,recipient_index,recipient_seed,separation_quartile,separation_quartile_label,state_id,task_family
1.0,1,0.9996323247546943,0.9727334449408117,0.047417494397727473,0,211,1.7390350300871131,211,1,0.027266555059188312,0.9963936082891186,0.027027004340537515,2,227,3,Q3,droid_episode_010336_frame_000067,take
1.0,1,0.9970968027939517,0.9207023002467976,0.06035671696631949,1,223,0.7611408294839217,223,1,0.07929769975320246,1.016277300867836,0.07760911455883895,2,227,1,Q1 (smallest),droid_episode_010336_frame_000067,take
1.0,1,0.9987174424129467,0.9457062844846987,0.04424275487019901,3,229,0.8148780102870353,229,1,0.05429371551530124,0.9778571506521025,0.049573196056062224,2,227,1,Q1 (smallest),droid_episode_010336_frame_000067,take
1.0,1,0.9996309649391897,0.9716292782270012,0.0407013828214128,0,211,1.4346262723618606,211,1,0.02837072177299884,0.9910819374459742,0.026932619891191324,3,229,3,Q3,droid_episode_010336_frame_000067,take
1.0,1,0.9964753945865833,0.91585372969563,0.052937803800100706,1,223,0.6291164612360894,223,1,0.08414627030437002,0.9995585560787719,0.0841451123559801,3,229,1,Q1 (smallest),droid_episode_010336_frame_000067,take
1.0,1,0.9992001814496168,0.9558134070821002,0.03600668291830142,2,227,0.8148780102870353,227,1,0.04418659291789983,0.9796155714226642,0.03920369963750477,3,229,1,Q1 (smallest),droid_episode_010336_frame_000067,take
1.0,1,0.9891810114295113,0.8532388454039643,0.1573342979703457,1,223,1.0720432011005432,223,1,0.14676115459603561,0.9742928538309719,0.14449214211923667,0,211,2,Q2,droid_episode_011256_frame_000212,remove
1.0,1,0.994810344973677,0.8892385732199032,0.11465165652431052,2,227,1.0351226041168395,227,1,0.11076142678009686,1.0331893715403282,0.10567194177794213,0,211,2,Q2,droid_episode_011256_frame_000212,remove
1.0,1,0.9982747125933968,0.9411055228867702,0.1231067984950999,3,229,2.090294447447358,229,1,0.05889447711322987,0.9919819563170321,0.058346125920567996,0,211,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9932001537646687,0.8831074977180146,0.12531381233103223,0,211,1.0720432011005432,211,1,0.11689250228198544,0.9760107324722224,0.11440442357367432,1,223,2,Q2,droid_episode_011256_frame_000212,remove
1.0,1,0.9926768782559154,0.8786365715397279,0.17229130583233754,2,227,1.4196311691106887,227,1,0.12136342846027212,0.9970037198198917,0.12132643600103762,1,223,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9993895036046844,0.9650495272094917,0.09554519376936736,3,229,2.7337310811805406,229,1,0.034950472790508315,0.9978231654705253,0.03488261658349827,1,223,4,Q4 (largest),droid_episode_011256_frame_000212,remove
1.0,1,0.994429034401284,0.8857043234802363,0.11831003831843367,0,211,1.0351226041168395,211,1,0.11429567651976366,1.0328312360497203,0.10947881809079783,2,227,2,Q2,droid_episode_011256_frame_000212,remove
1.0,1,0.9905725117148487,0.8625075700352476,0.195188539094731,1,223,1.4196311691106887,223,1,0.13749242996475244,0.992873413034739,0.13730761106303951,2,227,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9986646356354556,0.9482218822710099,0.09138616442605095,3,229,1.7649572528760473,229,1,0.05177811772899011,0.9938675529854126,0.051413680758825644,2,227,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9988780966513822,0.9515920323811737,0.10118690592584395,0,211,2.090294447447358,211,1,0.04840796761882622,0.9877296263090154,0.046827014195535886,3,229,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9978908062490538,0.9339594862802076,0.18053700497292638,1,223,2.7337310811805406,223,1,0.06604051371979239,0.9836703907936517,0.06398979071337892,3,229,4,Q4 (largest),droid_episode_011256_frame_000212,remove
1.0,1,0.996433512641719,0.9121258421423564,0.15509413225122282,2,227,1.7649572528760473,227,1,0.08787415785764362,0.9684394280412247,0.08201096217473028,3,229,3,Q3,droid_episode_011256_frame_000212,remove
1.0,1,0.9991615491777587,0.9586597187517624,0.08455735295601563,1,223,2.045398589532343,223,1,0.04134028124823764,1.0040478904349877,0.04114162656859503,0,211,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9989759252027981,0.9530904302383247,0.08799020321288706,2,227,1.8757409982637359,227,1,0.046909569761675235,1.0103259679002772,0.04575895674234631,0,211,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9848394827174962,0.8264341199045375,0.2916171678869522,3,229,1.6801526182828137,229,1,0.17356588009546248,0.9641728921808156,0.16982795140560633,0,211,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9976220626838119,0.9310374338035429,0.14105593562876428,0,211,2.045398589532343,211,1,0.06896256619645715,0.9976138474422765,0.06892127256785095,1,223,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9994692539945984,0.9674237730950881,0.0628573285043437,2,227,1.9295460056752596,227,1,0.03257622690491191,0.9989542694967645,0.032559438064483075,1,223,3,Q3,droid_episode_011699_frame_000330,pick
