future_noise_seed,goal_endpoint_donor_steering__interaction,goal_endpoint_donor_steering__o1r1_minus_gaussian,goal_endpoint_donor_steering__object_main_effect,goal_endpoint_donor_steering__robot_main_effect,initial_state_index,modality,native_action_similarity__interaction,native_action_similarity__o1r1_minus_gaussian,native_action_similarity__object_main_effect,native_action_similarity__robot_main_effect,prefix_chunks,robot_endpoint_donor_steering__interaction,robot_endpoint_donor_steering__o1r1_minus_gaussian,robot_endpoint_donor_steering__object_main_effect,robot_endpoint_donor_steering__robot_main_effect,task_id,unit_id
1201,,,,,35,proprio,0.0,,0.0,-0.0025275802059863822,5,,,,,1,task01_state35
1213,0.00016076624054905952,0.0008952498943894938,-7.531971457047648e-05,0.00039625356007638723,35,all,0.0035586919952338737,0.0044399204678429414,0.0018529398422243836,0.0009415144860785117,5,0.00015951230837707442,0.0008986987389033585,-5.749611775307528e-05,0.0003860945238096658,1,task01_state35
1213,,,,,35,wrist,-0.0010464189257433417,,-9.22711935790561e-05,0.0017756110242951395,5,,,,,1,task01_state35
1213,,,,,35,primary,0.0023145805778493553,,0.0011157581225018382,-0.0003184256628339325,5,,,,,1,task01_state35
1213,,,,,35,proprio,0.0,,0.0,0.0007871957311152769,5,,,,,1,task01_state35
1217,-0.0004221484561443001,0.000914356359084767,0.0002937331130667409,-1.208274405489762e-05,35,all,0.0037795393137851976,0.003233083629162588,0.0003646438482011096,8.648603431565122e-05,5,-0.0004343765275367506,0.0008867585091639762,0.0002938509757349772,-2.0466645652472693e-05,1,task01_state35
1217,,,,,35,wrist,-0.000884859070226951,,-0.0009121599828094372,0.002120583841746796,5,,,,,1,task01_state35
1217,,,,,35,primary,0.0024848094274448652,,-0.0003069662750464896,-0.0010017707313099804,5,,,,,1,task01_state35
1217,,,,,35,proprio,0.0,,0.0,0.0011965387684753966,5,,,,,1,task01_state35
1201,-0.010571966455220738,0.002548049897766802,0.0003687798448121504,0.0051293612413975676,17,all,0.0024961110177863424,-0.007100087397585731,0.0017831471680596388,-0.007692086376710413,6,0.0020382989481384506,0.001030786379055737,-0.0013567696173265587,0.0016330879459068859,2,task02_state17
1201,,,,,17,wrist,-0.0016535891410464944,,0.0017759066203705143,-0.006448469848351119,6,,,,,2,task02_state17
1201,,,,,17,primary,-0.0008050104619465297,,-0.0005209602719750068,0.00022720865384137385,6,,,,,2,task02_state17
1201,,,,,17,proprio,0.0,,0.0,-0.0011908047254275047,6,,,,,2,task02_state17
