correct_target_cell,decoded_primary_l1_to_target,decoded_primary_target_margin,decoded_primary_target_top1,decoded_wrist_l1_to_target,decoded_wrist_target_margin,decoded_wrist_target_top1,future_noise_seed,goal_endpoint_donor_steering,initial_state_index,prefix_chunks,robot_endpoint_donor_steering,target_cell,target_coordinate_distance,task_id,unit_id
0.0,14.598347151360544,-0.10962080144557795,0.0,13.87945099914966,6.112025669642859,1.0,1201,1.0009482570780366,35,4,0.9952682455561475,o0r1,1.000959441160168,2,task02_state35
1.0,14.83491443452381,-0.0678345556972797,0.0,14.452620110544217,5.785481770833336,1.0,1201,0.9995750582163514,35,4,0.9938557463978898,o1r1,0.006158930738897386,2,task02_state35
0.0,14.574723639455783,0.38639987244897966,1.0,14.059809470663266,5.449849861819727,1.0,1213,0.9974574335320854,35,4,0.9917276891824472,o0r0,1.4065721244214857,2,task02_state35
0.0,14.880919164540817,0.027543048469386378,1.0,13.48126594387755,6.703676392431975,1.0,1213,0.9986672550459109,35,4,0.9929580138602345,o1r0,0.9929589082627611,2,task02_state35
0.0,14.598347151360544,-0.10962080144557795,0.0,13.87945099914966,6.112025669642859,1.0,1213,1.0009613394302301,35,4,0.9952296616946459,o0r1,1.0009727065017846,2,task02_state35
1.0,14.83491443452381,-0.0678345556972797,0.0,14.452620110544217,5.785481770833336,1.0,1213,0.999430697590379,35,4,0.9936586401836068,o1r1,0.00636686340002409,2,task02_state35
0.0,14.574723639455783,0.38639987244897966,1.0,14.059809470663266,5.449849861819727,1.0,1217,1.0001501458796431,35,4,0.9944265070292937,o0r0,1.4103844838148047,2,task02_state35
0.0,14.880919164540817,0.027543048469386378,1.0,13.48126594387755,6.703676392431975,1.0,1217,1.0012584962817963,35,4,0.995502265102492,o1r0,0.9955030605864974,2,task02_state35
0.0,14.598347151360544,-0.10962080144557795,0.0,13.87945099914966,6.112025669642859,1.0,1217,1.0032474230455977,35,4,0.997559396423312,o0r1,1.0032503916737092,2,task02_state35
1.0,14.83491443452381,-0.0678345556972797,0.0,14.452620110544217,5.785481770833336,1.0,1217,1.0018511895124962,35,4,0.9961815291560933,o1r1,0.004243538876567731,2,task02_state35
0.0,15.324730282738095,0.5507015306122458,1.0,6.736660289115647,-0.12038956207483054,0.0,1201,1.004451285656069,17,12,0.9991238867755029,o0r0,1.4167465992129706,3,task03_state17
0.0,14.773450786564625,0.9712080144557831,1.0,6.600439785289115,0.3301844175170068,1.0,1201,1.0046854914764616,17,12,0.9990847999915416,o1r0,0.9990957869015937,3,task03_state17
0.0,16.284531781462587,0.1656635310374135,1.0,4.801810958758503,27.014708227040813,1.0,1201,1.0076482206763622,17,12,0.999037588802613,o0r1,1.0076486802787723,3,task03_state17
1.0,15.92623299319728,0.264834449404761,1.0,6.30988919005102,0.8572358630952381,1.0,1201,1.004298756806033,17,12,0.9992322031862991,o1r1,0.004366786235270168,3,task03_state17
0.0,15.324730282738095,0.5507015306122458,1.0,6.736660289115647,-0.12038956207483054,0.0,1213,1.0040735101430283,17,12,0.9984814850154533,o0r0,1.4160257376508405,3,task03_state17
0.0,14.773450786564625,0.9712080144557831,1.0,6.600439785289115,0.3301844175170068,1.0,1213,1.0054444617938976,17,12,0.9987068158245006,o1r0,0.998721655987562,3,task03_state17
0.0,16.284531781462587,0.1656635310374135,1.0,4.801810958758503,27.014708227040813,1.0,1213,1.0040701469812228,17,12,0.9987925455568673,o0r1,1.004070872999076,3,task03_state17
1.0,15.92623299319728,0.264834449404761,1.0,6.30988919005102,0.8572358630952381,1.0,1213,1.0036838445354996,17,12,0.9980995587770529,o1r1,0.004145164339758693,3,task03_state17
0.0,15.324730282738095,0.5507015306122458,1.0,6.736660289115647,-0.12038956207483054,0.0,1217,1.0044725461008346,17,12,0.9999803490140238,o0r0,1.4173657940999218,3,task03_state17
0.0,14.773450786564625,0.9712080144557831,1.0,6.600439785289115,0.3301844175170068,1.0,1217,0.9997151865761935,17,12,0.9985341711549861,o1r0,0.9985342117738688,3,task03_state17
0.0,16.284531781462587,0.1656635310374135,1.0,4.801810958758503,27.014708227040813,1.0,1217,1.005674756234008,17,12,0.9996422336334645,o0r1,1.0056748198712666,3,task03_state17
1.0,15.92623299319728,0.264834449404761,1.0,6.30988919005102,0.8572358630952381,1.0,1217,0.9997181775690948,17,12,0.9988953580630768,o1r1,0.0011400253029519598,3,task03_state17
0.0,15.371445843962585,1.1956313775510221,1.0,6.786557982568027,2.675562021683673,1.0,1201,1.0000459144749534,35,13,0.9995546086606037,o0r0,1.413931132252451,3,task03_state35
0.0,14.325069090136054,1.8439625850340136,1.0,6.316326530612245,9.371611926020407,1.0,1201,0.9995821031425173,35,13,0.9999962492149045,o1r0,0.9999963365341199,3,task03_state35
0.0,15.928863732993197,0.6291121917517017,1.0,15.059058779761905,25.52695843962585,1.0,1201,0.9995569615030815,35,13,0.9978379134531142,o0r1,0.9995592998454413,3,task03_state35
1.0,15.310420652636054,0.689512914540817,1.0,6.796728847789115,1.4890585140306118,1.0,1201,0.9995877136053403,35,13,0.9989347806907055,o1r1,0.00114222250376857,3,task03_state35
0.0,15.371445843962585,1.1956313775510221,1.0,6.786557982568027,2.675562021683673,1.0,1213,0.9993502951919582,35,13,0.997722333417781,o0r0,1.412144067402783,3,task03_state35
0.0,14.325069090136054,1.8439625850340136,1.0,6.316326530612245,9.371611926020407,1.0,1213,0.9996920611229816,35,13,1.000622267413801,o1r0,1.0006223147974906,3,task03_state35
0.0,15.928863732993197,0.6291121917517017,1.0,15.059058779761905,25.52695843962585,1.0,1213,0.9996980375327154,35,13,0.996244920404783,o0r1,0.9997050899487953,3,task03_state35
1.0,15.310420652636054,0.689512914540817,1.0,6.796728847789115,1.4890585140306118,1.0,1213,1.000613637451526,35,13,0.9994121714495359,o1r1,0.0008497607467140768,3,task03_state35
0.0,15.371445843962585,1.1956313775510221,1.0,6.786557982568027,2.675562021683673,1.0,1217,1.0002316999932217,35,13,1.000077965348554,o0r0,1.414432533013517,3,task03_state35
0.0,14.325069090136054,1.8439625850340136,1.0,6.316326530612245,9.371611926020407,1.0,1217,1.000192362917886,35,13,1.0000399990342508,o1r0,1.0000400175352566,3,task03_state35
0.0,15.928863732993197,0.6291121917517017,1.0,15.059058779761905,25.52695843962585,1.0,1217,0.9999832691453182,35,13,0.9997921933053404,o0r1,0.9999832907374904,3,task03_state35
1.0,15.310420652636054,0.689512914540817,1.0,6.796728847789115,1.4890585140306118,1.0,1217,0.9995038025695039,35,13,0.9982701796475637,o1r1,0.0017995806016218824,3,task03_state35
0.0,11.36248405612245,1.773703231292517,1.0,10.920141103316327,26.338176286139458,1.0,1201,0.9983291907846561,17,12,0.9955154048940303,o0r0,1.4098624381669551,4,task04_state17
0.0,11.860863095238095,1.4342580782312933,1.0,4.828370801445578,33.669011745323125,1.0,1201,1.0000630012535563,17,12,0.9978189125364487,o1r0,0.9978189145253656,4,task04_state17
0.0,10.29496837797619,2.2693585246598644,1.0,6.889661724064626,7.675003985969387,1.0,1201,0.9982779034187168,17,12,0.9963830417323828,o0r1,0.9982844558747664,4,task04_state17
1.0,10.596905559098639,1.9728422619047628,1.0,8.114224596088436,7.186762595663264,1.0,1201,0.9977925612337551,17,12,0.9958242872571215,o1r1,0.004723278820666716,4,task04_state17
