state_id,task_id,recipient,source,off_diagonal,gaussian_template_prediction,gaussian_source_correct,gaussian_projection,gaussian_distance_reduction,native_template_prediction,native_donor_correct,native_projection,native_distance_reduction
task01_state020,1,0,3,True,0,0,0.336313153095208,-0.1530577010899738,0,0,-1.994158404099965,-0.06651299578893778
task01_state020,1,1,0,True,1,0,0.46883337409904374,-0.03965391870556548,0,1,1.739798178522205,0.17836003148019008
task01_state020,1,1,1,False,1,1,0.0,0.0,0,0,0.0,0.0
task01_state020,1,1,2,True,0,0,-0.2794333919583137,-0.22106848131337892,0,0,-1.218187491595179,-0.009124264339818815
task01_state020,1,1,3,True,0,0,0.5324166175320482,0.03496946198749709,0,0,2.518435913342628,0.11077442900602183
task01_state020,1,2,0,True,2,0,-0.10450240079677141,-0.6168158974261574,0,1,1.423114469782587,0.21294993262412676
task01_state020,1,2,1,True,2,0,-0.33148378501887443,-0.21116184105890878,0,0,-1.2179587015802409,-0.012646585684804314
task01_state020,1,2,2,False,2,1,0.0,0.0,0,0,0.0,0.0
task01_state020,1,2,3,True,2,0,-0.07449269109703986,-0.5616724723930087,0,0,1.8160467472262898,0.11978900889763586
task01_state020,1,3,0,True,3,0,0.42347433141419627,-0.10090135852857407,0,1,2.0893355697034566,0.06963581543431341
task01_state020,1,3,1,True,1,1,0.6126574289018745,0.13544531071148064,0,0,-1.8412383537551118,-0.160097704111086
task01_state020,1,3,2,True,3,0,0.08263445049144935,-0.5211700290412308,0,0,-2.172986894912751,-0.13277576235549
task01_state020,1,3,3,False,3,1,0.0,0.0,0,0,0.0,0.0
task01_state030,1,0,0,False,0,1,0.0,0.0,1,0,0.0,0.0
task01_state030,1,0,1,True,0,0,0.37174548230214854,-0.15043330766123172,1,1,2.516786624487689,0.05299996940236683
task01_state030,1,0,2,True,0,0,-0.15783250112442324,-0.612624859955421,1,0,-0.07483905422303577,-0.006643112455260415
task01_state030,1,0,3,True,0,0,0.42071463504841916,-0.08344232976081252,1,0,-2.8721583402546638,-0.042495357622190935
task01_state030,1,1,0,True,1,0,0.4792764615893718,-0.025983923996252736,1,0,-2.4297300905421935,-0.08379672930293285
task01_state030,1,1,1,False,1,1,0.0,0.0,1,1,0.0,0.0
