action_donor_steering,contrast,direction,future_noise_seed,goal_endpoint_donor_steering,goal_endpoint_projected_l2,initial_state_index,pair_type,prefix_chunks,robot_endpoint_donor_steering,robot_endpoint_projected_l2,task_id,unit_id
-0.002782831076471631,robot_all_donor_minus_gaussian,forward,1213,,,17,robot,16,0.009506296713462543,6.609839031508137e-05,9,task09_state17
-0.0034668826851951733,robot_all_donor_minus_recipient,forward,1217,,,17,robot,16,0.020371615571955767,0.0001416462201855117,9,task09_state17
-0.002142572697872824,robot_wrist_donor_minus_recipient,forward,1217,,,17,robot,16,,,9,task09_state17
-6.065593206487424e-05,robot_primary_donor_minus_recipient,forward,1217,,,17,robot,16,,,9,task09_state17
-0.00043537159299639617,robot_proprio_donor_minus_recipient,forward,1217,,,17,robot,16,,,9,task09_state17
-0.002903771525549525,robot_all_donor_minus_gaussian,forward,1217,,,17,robot,16,0.00020710536751208323,1.4400277869273338e-06,9,task09_state17
0.749478695609692,robot_all_donor_minus_recipient,reverse,1201,,,17,robot,16,0.9551209200045083,0.006641067207501732,9,task09_state17
0.7356822098532014,robot_all_donor_minus_gaussian,reverse,1201,,,17,robot,16,0.9610413526142837,0.0066822326662782155,9,task09_state17
1.1226678941011778,robot_all_donor_minus_recipient,reverse,1213,,,17,robot,16,0.9595505222837405,0.006671866749028626,9,task09_state17
1.1113739691386062,robot_all_donor_minus_gaussian,reverse,1213,,,17,robot,16,0.9533436655513399,0.006628709749905402,9,task09_state17
1.054801486726195,robot_all_donor_minus_recipient,reverse,1217,,,17,robot,16,0.9561533554465056,0.006648245851602291,9,task09_state17
1.053530641725517,robot_all_donor_minus_gaussian,reverse,1217,,,17,robot,16,0.9521217877253758,0.006620213890803556,9,task09_state17
0.05747518786762984,object_all_donor_minus_recipient,forward,1201,-0.19780792537843453,-0.00305752091310193,35,object,14,,,9,task09_state35
-0.04775658893375612,object_wrist_donor_minus_recipient,forward,1201,,,35,object,14,,,9,task09_state35
-0.018848505633117407,object_primary_donor_minus_recipient,forward,1201,,,35,object,14,,,9,task09_state35
