branches,candidate_rank,common_recipients,eligible,initial_state_index,joint_pairs,maximum_action_l2,maximum_object_goal_l2,maximum_robot_gripper_l2,maximum_robot_orientation_angle_rad,maximum_robot_position_l2_m,median_action_l2,median_object_goal_l2,median_robot_gripper_l2,median_robot_orientation_angle_rad,median_robot_position_l2_m,object_pairs,prefix_chunks,robot_pairs,task_id,unit_id
64,1,0,False,17,0,0.05102807136835038,0.0010288039477545216,2.9019190658036523e-06,0.003342160653781937,0.001017136223424585,0.03448033074155,0.00038982101134840837,5.172754320307864e-07,0.0012757622264072677,0.00038977429490260143,0,4,0,7,task07_state17
64,2,0,False,17,0,0.07609883181975723,0.0022126039932203376,2.2364166050443852e-06,0.0033610829646324903,0.0022110778746654734,0.04511457709229947,0.0007069205270092906,4.299339751150618e-07,0.001011922919628953,0.0007050322127577584,0,12,0,7,task07_state17
64,3,0,False,17,0,0.057779284829740866,0.0011933270759987727,1.5761819906171496e-06,0.0031847831799888516,0.0011826720837944816,0.03615439731703652,0.00038695557992626665,3.2610913937698276e-07,0.001069695185085433,0.0003841919638353609,0,5,0,7,task07_state17
64,1,0,False,35,0,0.05355774492351072,0.0015671030659112873,2.873105500977617e-06,0.004519929388703685,0.0015538059952593599,0.036350908312683866,0.0005969381839491394,7.113984890877882e-07,0.0013033243856401774,0.0005927503678293683,0,5,0,7,task07_state35
64,2,0,False,35,180,0.17862852350832006,0.005215488618536407,2.197018027671485e-05,0.007171021089393384,0.005172464333410139,0.06976248694807964,0.0016659596338026309,4.839928670638222e-06,0.0022211512051348928,0.0016669784808037305,3,13,0,7,task07_state35
64,3,0,False,35,0,0.09231601898352297,0.0019371722342545641,7.703762237535335e-05,0.005219106237946708,0.0019276229649047112,0.048001036522028806,0.0006122444008634853,1.7918148524621103e-05,0.001507367612890441,0.0006045316861644339,0,14,0,7,task07_state35
64,1,0,False,17,0,0.055758497801493896,0.0013947714032014195,3.7283851913674437e-06,0.00396700070290899,0.0013777443127968845,0.036536859925622354,0.0005259366012427666,7.048012415668929e-07,0.0014320775431912057,0.0005033301297152558,0,21,0,8,task08_state17
64,2,0,False,17,194,0.14799237518249855,0.005903739530469355,7.412471954153392e-05,0.007404449869813838,0.005885723666964855,0.0529607260099275,0.0013637105478032285,1.42068871721496e-05,0.0022167020863776326,0.0013729170869138155,0,10,0,8,task08_state17
64,3,0,False,17,0,0.0628355236607989,0.0013221686113002416,1.571953792277649e-05,0.004362840710404699,0.0011857220526434711,0.0350269958369564,0.0004799633203372208,4.282206710418475e-06,0.0013591259985069734,0.00044825269010134543,0,11,0,8,task08_state17
64,1,0,False,35,0,0.054473450604546045,0.0011996956673239025,1.9069371304724556e-06,0.003547438908714612,0.0011986500137627604,0.03436263024990154,0.00048824728835231753,3.9160791904106105e-07,0.0012789118599131463,0.0004730890844820289,0,20,0,8,task08_state35
